CO_MUN_GEO;NO_MUN_MIN;SG_UF;NO_UF;NO_REGIAO;CO_UF;NO_PAIS;NO_MUN_UF_PAIS;NO_UF_PAIS;NO_REGIAO_ING;NO_REG_PAI_ING
2103158;Centro do Guilherme;MA;Maranhão;NORDESTE;21;BRASIL;Centro do Guilherme, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103174;Centro Novo do Maranhão;MA;Maranhão;NORDESTE;21;BRASIL;Centro Novo do Maranhão, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103208;Chapadinha;MA;Maranhão;NORDESTE;21;BRASIL;Chapadinha, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103257;Cidelândia;MA;Maranhão;NORDESTE;21;BRASIL;Cidelândia, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103307;Codó;MA;Maranhão;NORDESTE;21;BRASIL;Codó, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103406;Coelho Neto;MA;Maranhão;NORDESTE;21;BRASIL;Coelho Neto, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103505;Colinas;MA;Maranhão;NORDESTE;21;BRASIL;Colinas, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103554;Conceição do Lago-Açu;MA;Maranhão;NORDESTE;21;BRASIL;Conceição do Lago-Açu, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103604;Coroatá;MA;Maranhão;NORDESTE;21;BRASIL;Coroatá, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103703;Cururupu;MA;Maranhão;NORDESTE;21;BRASIL;Cururupu, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103752;Davinópolis;MA;Maranhão;NORDESTE;21;BRASIL;Davinópolis, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103802;Dom Pedro;MA;Maranhão;NORDESTE;21;BRASIL;Dom Pedro, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2103901;Duque Bacelar;MA;Maranhão;NORDESTE;21;BRASIL;Duque Bacelar, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104008;Esperantinópolis;MA;Maranhão;NORDESTE;21;BRASIL;Esperantinópolis, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104057;Estreito;MA;Maranhão;NORDESTE;21;BRASIL;Estreito, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104073;Feira Nova do Maranhão;MA;Maranhão;NORDESTE;21;BRASIL;Feira Nova do Maranhão, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104081;Fernando Falcão;MA;Maranhão;NORDESTE;21;BRASIL;Fernando Falcão, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104099;Formosa da Serra Negra;MA;Maranhão;NORDESTE;21;BRASIL;Formosa da Serra Negra, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104107;Fortaleza dos Nogueiras;MA;Maranhão;NORDESTE;21;BRASIL;Fortaleza dos Nogueiras, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104206;Fortuna;MA;Maranhão;NORDESTE;21;BRASIL;Fortuna, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
2104305;Godofredo Viana;MA;Maranhão;NORDESTE;21;BRASIL;Godofredo Viana, MA, BRASIL;Maranhão, BRASIL; NORTHEAST;NORDESTE, BRASIL
